County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,SOC_NUM,SOC_PCT,PHB_NUM,PHB_PCT,Margin_NUM,Margin_PCT,Total_NUM
Dawson,288,90.57,14,4.40,14,4.40,2,0.63,274,86.16,318
Deaf_Smith,356,78.76,77,17.04,16,3.54,3,0.66,279,61.73,452
Delta,1254,86.48,72,4.97,115,7.93,9,0.62,1139,78.55,1450
Denton,2844,82.15,451,13.03,157,4.53,10,0.29,2393,69.12,3462
De_Witt,1056,49.18,1068,49.74,21,0.98,2,0.09,-12,-0.56,2147
Dickens,389,87.81,15,3.39,39,8.80,0,0.00,350,79.01,443
Dimmit,193,72.01,74,27.61,0,0.00,1,0.37,119,44.40,268
Donley,636,85.14,42,5.62,54,7.23,15,2.01,582,77.91,747
Duval,597,93.72,37,5.81,3,0.47,0,0.00,560,87.91,637
Eastland,1486,76.64,146,7.53,294,15.16,13,0.67,1192,61.47,1939
Ector,120,98.36,2,1.64,0,0.00,0,0.00,118,96.72,122
Edwards,299,79.10,73,19.31,5,1.32,1,0.26,226,59.79,378
Ellis,3603,65.30,1770,32.08,111,2.01,34,0.62,1833,33.22,5518
El_Paso,4718,92.02,324,6.32,74,1.44,11,0.21,4394,85.70,5127
Erath,2024,80.57,184,7.32,287,11.43,17,0.68,1737,69.15,2512
Falls,2037,67.56,729,24.18,232,7.69,17,0.56,1308,43.38,3015
Fannin,3493,82.99,471,11.19,236,5.61,9,0.21,3022,71.80,4209
Fayette,1902,60.19,1212,38.35,40,1.27,6,0.19,690,21.84,3160
Fisher,950,77.17,46,3.74,229,18.60,6,0.49,721,58.57,1231
Floyd,600,81.86,48,6.55,78,10.64,7,0.95,522,71.21,733
Foard,475,78.64,41,6.79,88,14.57,0,0.00,387,64.07,604
Fort_Bend,788,69.12,329,28.86,16,1.40,7,0.61,459,40.26,1140
Franklin,684,86.80,62,7.87,42,5.33,0,0.00,622,78.93,788
Freestone,1575,68.15,637,27.56,98,4.24,1,0.04,938,40.59,2311
Frio,410,87.05,55,11.68,4,0.85,2,0.42,355,75.37,471
Gaines,80,95.24,0,0.00,4,4.76,0,0.00,76,90.48,84
Galveston,3543,71.94,1263,25.64,73,1.48,46,0.93,2280,46.29,4925
Garza,330,92.18,14,3.91,14,3.91,0,0.00,316,88.27,358
Gillespie,405,21.52,1463,77.74,12,0.64,2,0.11,-1058,-56.22,1882
Glasscock,96,88.89,8,7.41,4,3.70,0,0.00,88,81.48,108
Goliad,605,49.71,548,45.03,59,4.85,5,0.41,57,4.68,1217
Gonzales,1675,70.35,649,27.26,51,2.14,6,0.25,1026,43.09,2381
Gray,482,81.97,69,11.73,35,5.95,2,0.34,413,70.24,588
Grayson,5092,79.30,1024,15.95,285,4.44,20,0.31,4068,63.35,6421
Gregg,820,81.51,159,15.81,25,2.49,2,0.20,661,65.71,1006
Grimes,1108,89.14,108,8.69,25,2.01,2,0.16,1000,80.45,1243
Guadalupe,830,31.32,1812,68.38,7,0.26,1,0.04,-982,-37.06,2650
Hale,908,87.48,80,7.71,43,4.14,7,0.67,828,79.77,1038
Hall,925,86.61,49,4.59,88,8.24,6,0.56,837,78.37,1068
Hamilton,1231,84.26,201,13.76,28,1.92,1,0.07,1030,70.50,1461
Hansford,166,70.34,47,19.92,14,5.93,9,3.81,119,50.42,236
